name,link,address,lat,lng,rent_raw,rent_from,rent_to,layout_raw,layouts,built_year,management_fee_raw,management_fees,access,comment
コーシャハイム前野町,/jkktokyo/detailMap?account=jkktokyo&bid=1980330&pgret=2,板橋区前野町1-22-1,35.7651897,139.6973476,"81,400～128,300円（月額）",81400,128300,2K～3DK,"['2K', '3DK']",2004,"3,700円",[3700],都営地下鉄三田線「板橋本町」駅下車徒歩11分,
コーシャハイム多摩川,/jkktokyo/detailMap?account=jkktokyo&bid=1180480&pgret=2,大田区多摩川2-28-30,35.5571955,139.7003122,"116,200～170,100円（月額）",116200,170100,1K～3LDK,"['1K', '3LDK']",2005,"4,500円",[4500],東急多摩川線「矢口渡」駅下車徒歩9分,
コーシャハイム太子堂,/jkktokyo/detailMap?account=jkktokyo&bid=1280810&pgret=2,世田谷区太子堂3-30-6,35.6498746,139.670968,"94,700～180,400円（月額）",94700,180400,１Ｒ～2DK+S,"['1R', '2DK+S']",2007,"4,800円",[4800],東急田園都市線「三軒茶屋」駅下車徒歩10分,
コーシャハイム大井町,/jkktokyo/detailMap?account=jkktokyo&bid=980220&pgret=2,品川区二葉1-4-5,35.6077673,139.7268785,"110,500～161,700円（月額）",110500,161700,2K～3DK,"['2K', '3DK']",2005,"3,400円",[3400],東急大井町線「下神明」駅下車徒歩2分,
コーシャハイム大森東,/jkktokyo/detailMap?account=jkktokyo&bid=1180210&pgret=2,"大田区大森東1-35-4,5",35.5768048,139.7401749,"118,900～124,900円（月額）　",118900,124900,2LDK・3DK,"['2LDK', '3DK']",1983,"3,000円",[3000],京浜急行線「平和島」駅下車徒歩8分,
コーシャハイム中村北,/jkktokyo/detailMap?account=jkktokyo&bid=2080530&pgret=2,練馬区中村北2-2-6,35.7371266,139.6444551,"91,400～130,600円（月額）",91400,130600,2K～3DK,"['2K', '3DK']",2003,"4,200円",[4200],西武池袋線「練馬」駅下車徒歩14分,
コーシャハイム中野フロント,/jkktokyo/detailMap?account=jkktokyo&bid=1480015&pgret=2,東京都中野区2-26-1,35.7041313,139.6664944,"120,900～237,100円（月額）",120900,237100,１R～２LDK,"['1R', '2LDK']",2019,"5,800円",[5800],JR中央線・総武線・東京メトロ東西線「中野」駅下車 徒歩3分,
コーシャハイム中野弥生町,/jkktokyo/detailMap?account=jkktokyo&bid=1480320&pgret=2,中野区弥生町6-2-1,35.68622000000001,139.6626215,"95,300～195,600円（月額）",95300,195600,1DK～3LDK,"['1DK', '3LDK']",2010,"4,900円",[4900],東京メトロ丸ノ内線「方南町」駅下車徒歩7分,
コーシャハイム仲池上,/jkktokyo/detailMap?account=jkktokyo&bid=1180500&pgret=2,大田区仲池上2-7-2,35.5833165,139.7023458,"82,800～144,000円（月額）",82800,144000,1K～3DK,"['1K', '3DK']",2008,"5,000円",[5000],都営地下鉄浅草線「西馬込」駅下車徒歩7分,
コーシャハイム仲六郷,/jkktokyo/detailMap?account=jkktokyo&bid=1180450&pgret=2,大田区仲六郷3-21-1,35.5457225,139.7094519,"83,200～125,600円（月額）",83200,125600,2K～3DK,"['2K', '3DK']",2003,"3,500円",[3500],京浜急行線「雑色」駅下車徒歩11分,
コーシャハイム田端テラス,/jkktokyo/detailMap?account=jkktokyo&bid=1780110&pgret=2,北区田端5-13-13,35.73958289999999,139.7557307,"97,900～184,500円（月額）",97900,184500,１Ｋ ～ ２LＤＫ+ＤＥＮ（書斎）,"['1K ', ' 2LDK+DEN(書斎)']",2016,"4,800円 ",[4800],ＪＲ山手線「田端」駅下車徒歩７分,
コーシャハイム東新宿,/jkktokyo/detailMap?account=jkktokyo&bid=480200&pgret=2,新宿区新宿7-2-2,35.6983199,139.7128578,"109,900～202,400円（月額）",109900,202400,1DK～3DK,"['1DK', '3DK']",2008,"6,000円",[6000],都営地下鉄大江戸線「東新宿」駅下車徒歩6分,
コーシャハイム東村山栄町,/jkktokyo/detailMap?account=jkktokyo&bid=4380120&pgret=2,東村山市栄町3-14-19,35.7462844,139.4689908,"94,000～114,300円（月額）",94000,114300,2LDK～4DK,"['2LDK', '4DK']",1990,"2,800円",[2800],西武新宿線「久米川」駅下車徒歩8分,
コーシャハイム南葛西五丁目,/jkktokyo/detailMap?account=jkktokyo&bid=2380140&pgret=2,江戸川区南葛西5-18-1,35.642667,139.8718064,"87,100～113,400円（月額）",87100,113400,2LDK～4DK,"['2LDK', '4DK']",1986,"2,800円",[2800],ＪＲ京葉線「葛西臨海公園」駅下車徒歩18分,
コーシャハイム南蒲田,/jkktokyo/detailMap?account=jkktokyo&bid=1180460&pgret=2,大田区南蒲田2-17-1,35.554799,139.7239709,"90,300～139,100円（月額）",90300,139100,2K～3DK,"['2K', '3DK']",2003,"3,300円",[3300],京浜急行線「京急蒲田」駅下車徒歩9分,
コーシャハイム南砂駅前,/jkktokyo/detailMap?account=jkktokyo&bid=880390&pgret=2,江東区南砂3-14-1,35.6688765,139.831998,"140,600～200,800円（月額）",140600,200800,1LDK～3LDK,"['1LDK', '3LDK']",2005,"5,800円",[5800],東京メトロ東西線「南砂町」駅下車徒歩1分,
コーシャハイム南大沢,/jkktokyo/detailMap?account=jkktokyo&bid=3180200&pgret=2,八王子市南大沢3-9-1,35.6059653,139.3797817,"65,500～73,700円（月額）",65500,73700,2LDK～3DK,"['2LDK', '3DK']",1983,"3,000円",[3000],京王相模原線「南大沢」駅下車徒歩13分,
コーシャハイム南大沢五丁目,/jkktokyo/detailMap?account=jkktokyo&bid=3180270&pgret=2,八王子市南大沢5-20-1,35.6102747,139.3674224,"67,800～110,100円（月額）",67800,110100,2LDK～4LDK+Ｋ,"['2LDK', '4LDK+K']",1993,"5,100円（1、6号棟）3,600円（2～5号棟、7～11号棟）","[5100, 3600]",京王相模原線「南大沢」駅からバス約8分「パークフィーネ前」下車徒歩2分,エレベータは１、６、１１号棟のみ（１１号棟は１、３、５階のみで停止します。）
コーシャハイム南大沢第二,/jkktokyo/detailMap?account=jkktokyo&bid=3180210&pgret=2,八王子市南大沢4-16-1,35.6087282,139.3765917,"73,400～83,100円（月額）",73400,83100,2LDK～3LDK,"['2LDK', '3LDK']",1988,"3,000円",[3000],京王相模原線「南大沢」駅下車徒歩12分,
コーシャハイム日野神明,/jkktokyo/detailMap?account=jkktokyo&bid=4280090&pgret=2,日野市神明3-9,35.6750196,139.3938789,"88,200～129,200円（月額）",88200,129200,2LDK～4LDK+K,"['2LDK', '4LDK+K']",1994,"6,600円",[6600],ＪＲ中央線「日野」駅下車徒歩6分,
コーシャハイム日野大坂上,/jkktokyo/detailMap?account=jkktokyo&bid=4280100&pgret=2,"日野市大坂上4-13-3-1,2",35.6708181,139.3851975,"70,700～94,000円（月額）",70700,94000,1LDK＋S～3LDK,"['1LDK+S', '3LDK']",1994,"5,600円",[5600],ＪＲ中央線「日野」駅下車徒歩18分,
コーシャハイム梅園二丁目,/jkktokyo/detailMap?account=jkktokyo&bid=5180050&pgret=2,清瀬市梅園2-6-2,35.7739347,139.5037113,"64,300～71,000円（月額）",64300,71000,2DK・3DK,"['2DK', '3DK']",1985,"1,700円",[1700],西武池袋線「秋津」駅下車徒歩13分,
